country,year,banking,currency,inflation,sovereign_debt,any_crisis,source
Korea,2011,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Korea,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Korea,2013,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Korea,2014,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Korea,2015,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Korea,2016,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Korea,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2021,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2022,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2023,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Korea,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Lebanon,2010,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2011,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2012,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2013,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2014,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2015,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2016,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Lebanon,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Lebanon,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Lebanon,2019,1,1,0,0,1,Manual: post-2016 (IMF press releases + news)
Lebanon,2020,1,1,1,1,1,Manual: post-2016 (IMF press releases + news)
Lebanon,2021,1,1,1,1,1,Manual: post-2016 (IMF press releases + news)
Lebanon,2022,1,1,1,1,1,Manual: post-2016 (IMF press releases + news)
Lebanon,2023,1,1,1,1,1,Manual: post-2016 (IMF press releases + news)
Lebanon,2024,1,0,1,1,1,Manual: post-2016 (IMF press releases + news)
Malaysia,2010,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2011,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2013,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2014,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2015,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2016,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Malaysia,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2021,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2022,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2023,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Malaysia,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Pakistan,2010,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2011,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2012,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2013,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2014,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2015,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2016,0,0,0,0,0,No R-R coverage (Lebanon/Pakistan absent from R-R)
Pakistan,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Pakistan,2018,0,1,0,0,1,Manual: post-2016 (IMF press releases + news)
Pakistan,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Pakistan,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Pakistan,2021,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Pakistan,2022,0,1,1,0,1,Manual: post-2016 (IMF press releases + news)
Pakistan,2023,0,1,1,0,1,Manual: post-2016 (IMF press releases + news)
Pakistan,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2010,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Poland,2011,0,1,0,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Poland,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Poland,2013,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Poland,2014,0,1,0,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Poland,2015,0,1,0,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
